Date : 2025-10-28 03:59:19
Directory : /Users/changzechuan/DBMSProjects/bytebase
Total : 4102 files,  739077 codes, 55996 comments, 97133 blanks, all 892206 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend/component/dbfactory                                                                                                                                                     |          1 |         57 |          6 |          9 |         72 |
| backend/component/ghost                                                                                                                                                         |          3 |        561 |         26 |         64 |        651 |
| backend/component/iam                                                                                                                                                           |          6 |      1,070 |         11 |         47 |      1,128 |
| backend/component/masker                                                                                                                                                        |          2 |      1,084 |         53 |         80 |      1,217 |
| backend/component/sampleinstance                                                                                                                                                |          1 |        247 |         29 |         39 |        315 |
| backend/component/secret                                                                                                                                                        |          4 |        177 |         13 |         44 |        234 |
| backend/component/sheet                                                                                                                                                         |          1 |        210 |         10 |         26 |        246 |
| backend/component/state                                                                                                                                                         |          1 |         62 |         20 |         18 |        100 |
| backend/component/webhook                                                                                                                                                       |          2 |        443 |          9 |         53 |        505 |
| backend/demo                                                                                                                                                                    |          3 |      3,493 |        960 |      1,593 |      6,046 |
| backend/demo (Files)                                                                                                                                                            |          2 |        112 |          7 |         45 |        164 |
| backend/demo/data                                                                                                                                                               |          1 |      3,381 |        953 |      1,548 |      5,882 |
| backend/enterprise                                                                                                                                                              |         10 |        725 |        126 |        129 |        980 |
| backend/enterprise (Files)                                                                                                                                                      |          5 |        356 |         92 |         46 |        494 |
| backend/enterprise/config                                                                                                                                                       |          2 |         62 |         12 |         24 |         98 |
| backend/enterprise/config (Files)                                                                                                                                               |          1 |         34 |         12 |          9 |         55 |
| backend/enterprise/config/keys                                                                                                                                                  |          1 |         28 |          0 |         15 |         43 |
| backend/enterprise/plugin                                                                                                                                                       |          3 |        307 |         22 |         59 |        388 |
| backend/enterprise/plugin (Files)                                                                                                                                               |          1 |         15 |          4 |          5 |         24 |
| backend/enterprise/plugin/aws                                                                                                                                                   |          1 |        114 |          9 |         22 |        145 |
| backend/enterprise/plugin/hub                                                                                                                                                   |          1 |        178 |          9 |         32 |        219 |
| backend/generated-go                                                                                                                                                            |        211 |    100,427 |     10,006 |     11,450 |    121,883 |
| backend/generated-go/store                                                                                                                                                      |         60 |     22,820 |      1,438 |      3,054 |     27,312 |
| backend/generated-go/v1                                                                                                                                                         |        151 |     77,607 |      8,568 |      8,396 |     94,571 |
| backend/generated-go/v1 (Files)                                                                                                                                                 |        122 |     72,318 |      6,393 |      7,698 |     86,409 |
| backend/generated-go/v1/v1connect                                                                                                                                               |         29 |      5,289 |      2,175 |        698 |      8,162 |
| backend/metric                                                                                                                                                                  |          6 |        159 |         28 |         40 |        227 |
| backend/metric (Files)                                                                                                                                                          |          1 |         29 |         15 |          6 |         50 |
| backend/metric/collector                                                                                                                                                        |          5 |        130 |         13 |         34 |        177 |
| backend/migrator                                                                                                                                                                |        138 |      3,384 |        534 |        393 |      4,311 |
| backend/migrator (Files)                                                                                                                                                        |          2 |        268 |          8 |         36 |        312 |
| backend/migrator/migration                                                                                                                                                      |        136 |      3,116 |        526 |        357 |      3,999 |
| backend/migrator/migration (Files)                                                                                                                                              |          1 |        370 |         91 |        110 |        571 |
| backend/migrator/migration/3.0                                                                                                                                                  |          2 |         43 |          0 |          1 |         44 |
| backend/migrator/migration/3.1                                                                                                                                                  |          4 |         99 |          0 |         10 |        109 |
| backend/migrator/migration/3.10                                                                                                                                                 |          9 |        255 |         31 |         11 |        297 |
| backend/migrator/migration/3.11                                                                                                                                                 |         18 |        872 |        302 |         63 |      1,237 |
| backend/migrator/migration/3.2                                                                                                                                                  |          6 |        141 |          6 |         16 |        163 |
| backend/migrator/migration/3.3                                                                                                                                                  |          9 |         63 |          0 |          6 |         69 |
| backend/migrator/migration/3.4                                                                                                                                                  |         19 |        396 |          1 |         69 |        466 |
| backend/migrator/migration/3.5                                                                                                                                                  |         18 |        102 |          0 |          8 |        110 |
| backend/migrator/migration/3.6                                                                                                                                                  |          6 |         80 |          0 |         11 |         91 |
| backend/migrator/migration/3.7                                                                                                                                                  |         28 |        562 |         78 |         39 |        679 |
| backend/migrator/migration/3.8                                                                                                                                                  |          5 |         34 |          5 |          3 |         42 |
| backend/migrator/migration/3.9                                                                                                                                                  |         11 |         99 |         12 |         10 |        121 |
| backend/plugin                                                                                                                                                                  |      1,490 |    276,354 |     17,974 |     31,421 |    325,749 |
| backend/plugin/advisor                                                                                                                                                          |        641 |     64,777 |      4,023 |      8,560 |     77,360 |
| backend/plugin/advisor (Files)                                                                                                                                                  |          6 |      1,476 |        246 |        162 |      1,884 |
| backend/plugin/advisor/catalog                                                                                                                                                  |         11 |      6,845 |        386 |        556 |      7,787 |
| backend/plugin/advisor/catalog (Files)                                                                                                                                          |          7 |      4,084 |        386 |        552 |      5,022 |
| backend/plugin/advisor/catalog/test                                                                                                                                             |          4 |      2,761 |          0 |          4 |      2,765 |
| backend/plugin/advisor/generator                                                                                                                                                |          2 |        192 |          6 |         17 |        215 |
| backend/plugin/advisor/mssql                                                                                                                                                    |         50 |      4,132 |        302 |        650 |      5,084 |
| backend/plugin/advisor/mssql (Files)                                                                                                                                            |         27 |      3,137 |        302 |        626 |      4,065 |
| backend/plugin/advisor/mssql/test                                                                                                                                               |         23 |        995 |          0 |         24 |      1,019 |
| backend/plugin/advisor/mysql                                                                                                                                                    |        166 |     18,543 |      1,234 |      2,386 |     22,163 |
| backend/plugin/advisor/mysql (Files)                                                                                                                                            |         94 |     13,543 |      1,234 |      2,313 |     17,090 |
| backend/plugin/advisor/mysql/test                                                                                                                                               |         72 |      5,000 |          0 |         73 |      5,073 |
| backend/plugin/advisor/oceanbase                                                                                                                                                |          4 |        497 |         34 |         81 |        612 |
| backend/plugin/advisor/oracle                                                                                                                                                   |         51 |      3,841 |        226 |        639 |      4,706 |
| backend/plugin/advisor/oracle (Files)                                                                                                                                           |         28 |      2,872 |        226 |        616 |      3,714 |
| backend/plugin/advisor/oracle/test                                                                                                                                              |         23 |        969 |          0 |         23 |        992 |
| backend/plugin/advisor/pg                                                                                                                                                       |        109 |      7,915 |        258 |      1,011 |      9,184 |
| backend/plugin/advisor/pg (Files)                                                                                                                                               |         56 |      5,976 |        258 |        957 |      7,191 |
| backend/plugin/advisor/pg/test                                                                                                                                                  |         53 |      1,939 |          0 |         54 |      1,993 |
| backend/plugin/advisor/pgantlr                                                                                                                                                  |        101 |      9,122 |        724 |      1,615 |     11,461 |
| backend/plugin/advisor/pgantlr (Files)                                                                                                                                          |         53 |      7,309 |        724 |      1,566 |      9,599 |
| backend/plugin/advisor/pgantlr/test                                                                                                                                             |         48 |      1,813 |          0 |         49 |      1,862 |
| backend/plugin/advisor/redshift                                                                                                                                                 |          1 |         97 |          9 |         24 |        130 |
| backend/plugin/advisor/snowflake                                                                                                                                                |         31 |      2,784 |        203 |        368 |      3,355 |
| backend/plugin/advisor/snowflake (Files)                                                                                                                                        |         17 |      1,868 |        203 |        354 |      2,425 |
| backend/plugin/advisor/snowflake/test                                                                                                                                           |         14 |        916 |          0 |         14 |        930 |
| backend/plugin/advisor/tidb                                                                                                                                                     |        109 |      9,333 |        395 |      1,051 |     10,779 |
| backend/plugin/advisor/tidb (Files)                                                                                                                                             |         54 |      6,176 |        395 |        995 |      7,566 |
| backend/plugin/advisor/tidb/test                                                                                                                                                |         55 |      3,157 |          0 |         56 |      3,213 |
| backend/plugin/db                                                                                                                                                               |        133 |     29,250 |      2,163 |      3,355 |     34,768 |
| backend/plugin/db (Files)                                                                                                                                                       |          1 |        281 |         46 |         42 |        369 |
| backend/plugin/db/bigquery                                                                                                                                                      |          4 |        394 |         18 |         51 |        463 |
| backend/plugin/db/cassandra                                                                                                                                                     |          3 |        800 |         16 |         75 |        891 |
| backend/plugin/db/clickhouse                                                                                                                                                    |          5 |        819 |         55 |         83 |        957 |
| backend/plugin/db/cockroachdb                                                                                                                                                   |          8 |      1,908 |         99 |        230 |      2,237 |
| backend/plugin/db/cosmosdb                                                                                                                                                      |          2 |        169 |         18 |         30 |        217 |
| backend/plugin/db/databricks                                                                                                                                                    |          4 |        583 |         41 |         96 |        720 |
| backend/plugin/db/dynamodb                                                                                                                                                      |          4 |        523 |         40 |         44 |        607 |
| backend/plugin/db/elasticsearch                                                                                                                                                 |          5 |        826 |         88 |        151 |      1,065 |
| backend/plugin/db/hive                                                                                                                                                          |          3 |        739 |         68 |        125 |        932 |
| backend/plugin/db/mongodb                                                                                                                                                       |          4 |        922 |         65 |         93 |      1,080 |
| backend/plugin/db/mssql                                                                                                                                                         |          9 |      3,563 |        289 |        380 |      4,232 |
| backend/plugin/db/mssql (Files)                                                                                                                                                 |          8 |      3,214 |        289 |        375 |      3,878 |
| backend/plugin/db/mssql/test-data                                                                                                                                               |          1 |        349 |          0 |          5 |        354 |
| backend/plugin/db/mysql                                                                                                                                                         |         10 |      2,746 |        241 |        253 |      3,240 |
| backend/plugin/db/oracle                                                                                                                                                        |          8 |      2,423 |        170 |        272 |      2,865 |
| backend/plugin/db/oracle (Files)                                                                                                                                                |          7 |      2,115 |        170 |        271 |      2,556 |
| backend/plugin/db/oracle/test-data                                                                                                                                              |          1 |        308 |          0 |          1 |        309 |
| backend/plugin/db/pg                                                                                                                                                            |         11 |      3,213 |        204 |        384 |      3,801 |
| backend/plugin/db/redis                                                                                                                                                         |          2 |        433 |         19 |         48 |        500 |
| backend/plugin/db/redshift                                                                                                                                                      |          7 |      1,347 |         90 |        148 |      1,585 |
| backend/plugin/db/snowflake                                                                                                                                                     |          8 |      1,383 |         93 |        148 |      1,624 |
| backend/plugin/db/snowflake (Files)                                                                                                                                             |          7 |      1,241 |         85 |        146 |      1,472 |
| backend/plugin/db/snowflake/test-data                                                                                                                                           |          1 |        142 |          8 |          2 |        152 |
| backend/plugin/db/spanner                                                                                                                                                       |          4 |        821 |         26 |         87 |        934 |
| backend/plugin/db/sqlite                                                                                                                                                        |          3 |        434 |         27 |         62 |        523 |
| backend/plugin/db/starrocks                                                                                                                                                     |          7 |      1,429 |        124 |        135 |      1,688 |
| backend/plugin/db/tidb                                                                                                                                                          |          9 |      1,892 |        160 |        191 |      2,243 |
| backend/plugin/db/trino                                                                                                                                                         |          4 |        449 |         26 |         99 |        574 |
| backend/plugin/db/util                                                                                                                                                          |          8 |      1,153 |        140 |        128 |      1,421 |
| backend/plugin/idp                                                                                                                                                              |          8 |      1,345 |         72 |        150 |      1,567 |
| backend/plugin/idp (Files)                                                                                                                                                      |          2 |         76 |          2 |         12 |         90 |
| backend/plugin/idp/ldap                                                                                                                                                         |          2 |        364 |         31 |         30 |        425 |
| backend/plugin/idp/oauth2                                                                                                                                                       |          2 |        331 |          6 |         41 |        378 |
| backend/plugin/idp/oidc                                                                                                                                                         |          2 |        574 |         33 |         67 |        674 |
| backend/plugin/metric                                                                                                                                                           |          5 |        103 |         18 |         34 |        155 |
| backend/plugin/metric (Files)                                                                                                                                                   |          3 |         26 |          6 |          9 |         41 |
| backend/plugin/metric/segment                                                                                                                                                   |          2 |         77 |         12 |         25 |        114 |
| backend/plugin/parser                                                                                                                                                           |        460 |     96,497 |      4,703 |      8,853 |    110,053 |
| backend/plugin/parser/base                                                                                                                                                      |         21 |      2,151 |        323 |        370 |      2,844 |
| backend/plugin/parser/bigquery                                                                                                                                                  |          9 |      2,450 |        111 |        184 |      2,745 |
| backend/plugin/parser/bigquery (Files)                                                                                                                                          |          8 |      1,459 |        111 |        183 |      1,753 |
| backend/plugin/parser/bigquery/test-data                                                                                                                                        |          1 |        991 |          0 |          1 |        992 |
| backend/plugin/parser/bigquery/test-data/query-span                                                                                                                             |          1 |        991 |          0 |          1 |        992 |
| backend/plugin/parser/cassandra                                                                                                                                                 |          4 |      1,063 |         90 |        127 |      1,280 |
| backend/plugin/parser/cockroachdb                                                                                                                                               |          5 |        186 |         14 |         87 |        287 |
| backend/plugin/parser/cockroachdb (Files)                                                                                                                                       |          4 |        151 |         14 |         35 |        200 |
| backend/plugin/parser/cockroachdb/testdata                                                                                                                                      |          1 |         35 |          0 |         52 |         87 |
| backend/plugin/parser/cosmosdb                                                                                                                                                  |          8 |        474 |         16 |         82 |        572 |
| backend/plugin/parser/cosmosdb (Files)                                                                                                                                          |          7 |        458 |         16 |         81 |        555 |
| backend/plugin/parser/cosmosdb/test-data                                                                                                                                        |          1 |         16 |          0 |          1 |         17 |
| backend/plugin/parser/cosmosdb/test-data/query-span                                                                                                                             |          1 |         16 |          0 |          1 |         17 |
| backend/plugin/parser/doris                                                                                                                                                     |         19 |      1,645 |         36 |        165 |      1,846 |
| backend/plugin/parser/doris (Files)                                                                                                                                             |         16 |      1,166 |         36 |        158 |      1,360 |
| backend/plugin/parser/doris/test-data                                                                                                                                           |          3 |        479 |          0 |          7 |        486 |
