Date : 2025-10-28 03:59:19
Directory : /Users/changzechuan/DBMSProjects/bytebase
Total : 4102 files,  739077 codes, 55996 comments, 97133 blanks, all 892206 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskOperations.vue                                                                | vue                |        250 |          1 |         23 |        274 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskRollbackButton.vue                                                            | vue                |         50 |          0 |          7 |         57 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskRolloutActionPanel.vue                                                        | vue                |        874 |         11 |         84 |        969 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskRunComment.vue                                                                | vue                |        137 |          0 |          8 |        145 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskRunRollbackDrawer.vue                                                         | vue                |        346 |          5 |         32 |        383 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskRunRollbackSection.vue                                                        | vue                |         69 |          0 |         10 |         79 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskRunTable.vue                                                                  | vue                |        206 |          0 |         15 |        221 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskStatusActions.vue                                                             | vue                |        188 |          1 |         23 |        212 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskTable.vue                                                                     | vue                |        251 |          0 |         22 |        273 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskTableView.vue                                                                 | vue                |         48 |          2 |          8 |         58 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/TaskView.vue                                                                      | vue                |        228 |          6 |         18 |        252 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/context.ts                                                                        | TypeScript         |         83 |          9 |         17 |        109 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/index.ts                                                                          | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/RolloutView/taskPermissions.ts                                                                | TypeScript         |         68 |         17 |         13 |         98 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckSection/AdviceStatusIcon.vue                                                          | vue                |         47 |          0 |          5 |         52 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckSection/SQLCheckBadge.vue                                                             | vue                |         83 |          0 |         10 |         93 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckSection/SQLCheckButton.vue                                                            | vue                |        182 |          0 |         17 |        199 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckSection/SQLCheckSection.vue                                                           | vue                |         48 |          0 |          6 |         54 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckSection/common.ts                                                                     | TypeScript         |         29 |          2 |          2 |         33 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckSection/context.ts                                                                    | TypeScript         |         45 |          1 |          9 |         55 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckSection/index.ts                                                                      | TypeScript         |          4 |          0 |          3 |          7 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckV1Section/SQLCheckV1Section.vue                                                       | vue                |        294 |          3 |         27 |        324 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SQLCheckV1Section/index.ts                                                                    | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/AllTargetsDrawer.vue                                                           | vue                |        168 |          3 |         20 |        191 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/DataExportOptionsSection.vue                                                   | vue                |         56 |          2 |          7 |         65 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/EditMigrationTypeModal.vue                                                     | vue                |         78 |          0 |          9 |         87 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/FailedTaskRunsSection.vue                                                      | vue                |        283 |          0 |         30 |        313 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/SpecDetailView.vue                                                             | vue                |         64 |          0 |          8 |         72 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/SpecListSection.vue                                                            | vue                |        352 |          0 |         31 |        383 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/TargetListSection.vue                                                          | vue                |        237 |          1 |         25 |        263 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/TargetsSelectorDrawer.vue                                                      | vue                |         97 |          0 |         12 |        109 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/context.ts                                                                     | TypeScript         |         31 |          2 |          8 |         41 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/SpecDetailView/index.ts                                                                       | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/EditorView/EditorView.vue                                                    | vue                |        456 |          2 |         32 |        490 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/EditorView/index.ts                                                          | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/ReleaseView/ReleaseView.vue                                                  | vue                |        224 |          0 |         18 |        242 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/ReleaseView/index.ts                                                         | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/StatementSection.vue                                                         | vue                |         32 |          0 |          5 |         37 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/directiveUtils.ts                                                            | TypeScript         |        104 |         49 |         28 |        181 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/index.ts                                                                     | TypeScript         |          4 |          0 |          3 |          7 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/useSQLAdviceMarkers.ts                                                       | TypeScript         |         93 |          2 |          3 |         98 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/StatementSection/useSpecSheet.ts                                                              | TypeScript         |         53 |          0 |          5 |         58 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/common/CheckResultItem.vue                                                                    | vue                |        121 |          0 |         13 |        134 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/common/DatabaseDisplay.vue                                                                    | vue                |        109 |          0 |         13 |        122 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/common/ErrorList.vue                                                                          | vue                |         22 |          0 |          2 |         24 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/common/index.ts                                                                               | TypeScript         |          3 |          0 |          2 |          5 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/common/validateSpec.ts                                                                        | TypeScript         |         51 |          5 |         12 |         68 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/components/index.ts                                                                                      | TypeScript         |         14 |          0 |          2 |         16 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/constants/task.ts                                                                                        | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/index.ts                                                                                                 | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/base.ts                                                                                            | TypeScript         |         27 |          0 |          4 |         31 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/context.ts                                                                                         | TypeScript         |         67 |          2 |         10 |         79 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/index.ts                                                                                           | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/initialize/create.ts                                                                               | TypeScript         |        222 |          5 |         11 |        238 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/initialize/index.ts                                                                                | TypeScript         |        207 |         20 |         25 |        252 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/initialize/util.ts                                                                                 | TypeScript         |         55 |          0 |          3 |         58 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/plan-check.ts                                                                                      | TypeScript         |         55 |          1 |          4 |         60 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/plan.ts                                                                                            | TypeScript         |         99 |          5 |          9 |        113 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/poller/index.ts                                                                                    | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/poller/poller.ts                                                                                   | TypeScript         |        336 |         18 |         49 |        403 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/poller/utils.ts                                                                                    | TypeScript         |         79 |          0 |          9 |         88 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/sheet.ts                                                                                           | TypeScript         |         29 |          0 |          7 |         36 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/sidebar.ts                                                                                         | TypeScript         |         42 |          1 |          7 |         50 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/useCICDTabNavigation.tsx                                                                           | TypeScript JSX     |        171 |          6 |         20 |        197 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/useEditorState.ts                                                                                  | TypeScript         |         16 |          0 |          5 |         21 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/useNavigationGuard.ts                                                                              | TypeScript         |         29 |          3 |          5 |         37 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/usePlanCheckStatus.ts                                                                              | TypeScript         |         76 |          2 |         16 |         94 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Plan/logic/utils.ts                                                                                           | TypeScript         |         82 |          0 |         10 |         92 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/PlanCheckResultDefinitionModal.vue                                                               | vue                |         24 |          0 |          4 |         28 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/PlanCheckRunBadge.vue                                                                            | vue                |        118 |          0 |         11 |        129 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/PlanCheckRunBadgeBar.vue                                                                         | vue                |         52 |          0 |          6 |         58 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/PlanCheckRunBar.vue                                                                              | vue                |         69 |          0 |          9 |         78 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/PlanCheckRunButton.vue                                                                           | vue                |         30 |          0 |          6 |         36 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/PlanCheckRunDetail.vue                                                                           | vue                |        494 |          2 |         44 |        540 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/PlanCheckRunModal.vue                                                                            | vue                |         33 |          0 |          4 |         37 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/PlanCheckRunPanel.vue                                                                            | vue                |        107 |          0 |         14 |        121 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/common.ts                                                                                        | TypeScript         |         86 |          1 |         11 |         98 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/context.ts                                                                                       | TypeScript         |         29 |          0 |          6 |         35 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/detail/OnlineMigrationDetail.vue                                                                 | vue                |         19 |          0 |          4 |         23 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PlanCheckRun/detail/index.ts                                                                                  | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/PrincipalAvatar.vue                                                                                           | vue                |         55 |          0 |          4 |         59 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProfileBrandingLogo.vue                                                                                       | vue                |         20 |          0 |          3 |         23 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProfileDropdown.vue                                                                                           | vue                |        377 |          0 |         20 |        397 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProfilePreview.vue                                                                                            | vue                |         39 |          0 |          5 |         44 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/ProjectArchiveRestoreButton.vue                                                                       | vue                |         86 |          0 |          8 |         94 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/ProjectCreatePanel.vue                                                                                | vue                |        149 |          0 |         16 |        165 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/ProjectIssuesPanel.vue                                                                                | vue                |        392 |          0 |         28 |        420 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/ProjectReleasesPanel.vue                                                                              | vue                |         53 |          0 |          5 |         58 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/ProjectSidebarV1.vue                                                                                  | vue                |         54 |          0 |          9 |         63 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/ProjectSwitch/ProjectSwitchContent.vue                                                                | vue                |        181 |          0 |         18 |        199 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/ProjectSwitch/ProjectSwitchModal.vue                                                                  | vue                |         41 |          0 |          6 |         47 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/ProjectSwitch/ProjectSwitchPopover.vue                                                                | vue                |         77 |          0 |          7 |         84 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/Settings/ProjectGeneralSettingPanel.vue                                                               | vue                |        118 |          1 |         19 |        138 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/Settings/ProjectIssueRelatedSettingPanel.vue                                                          | vue                |        505 |          0 |         19 |        524 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/Settings/ProjectSecuritySettingPanel.vue                                                              | vue                |         50 |          0 |          8 |         58 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/Settings/index.ts                                                                                     | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/WebhookTypeIcon.vue                                                                                   | vue                |         31 |          2 |          3 |         36 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/useProjectSidebar.ts                                                                                  | TypeScript         |        242 |          0 |         16 |        258 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Project/useRecentProjects.ts                                                                                  | TypeScript         |         49 |          0 |          8 |         57 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectDatabasesPanel.vue                                                                                     | vue                |        176 |          0 |         18 |        194 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectMember/AddProjectMember/AddProjectMemberForm.vue                                                       | vue                |        187 |          0 |         13 |        200 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectMember/AddProjectMember/AddProjectMembersPanel.vue                                                     | vue                |        152 |          0 |         16 |        168 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectMember/ProjectMemberPanel.vue                                                                          | vue                |        278 |          0 |         27 |        305 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectMember/ProjectMemberRolePanel/EditProjectRolePanel.vue                                                 | vue                |        232 |          0 |         30 |        262 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectMember/ProjectMemberRolePanel/RoleDescription.vue                                                      | vue                |         70 |          0 |         10 |         80 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectMember/ProjectMemberRolePanel/RoleExpiredTip.vue                                                       | vue                |         17 |          0 |          3 |         20 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectMember/ProjectMemberRolePanel/index.vue                                                                | vue                |        615 |          0 |         44 |        659 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectMember/utils.ts                                                                                        | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectSettingPanel.vue                                                                                       | vue                |        141 |          3 |         15 |        159 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectWebhookForm.vue                                                                                        | vue                |        500 |          0 |         27 |        527 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProjectWebhookPanel.vue                                                                                       | vue                |        117 |          0 |          6 |        123 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProvideDashboardContext.vue                                                                                   | vue                |         33 |          0 |          9 |         42 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProvideInstanceContext.vue                                                                                    | vue                |         30 |          0 |          9 |         39 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ProvideSQLEditorContext.vue                                                                                   | vue                |        493 |          0 |         44 |        537 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Quickstart.vue                                                                                                | vue                |        329 |          0 |         19 |        348 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/RecoveryCodesView.vue                                                                                         | vue                |         69 |          0 |          5 |         74 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/RegenerateRecoveryCodesView.vue                                                                               | vue                |         81 |          0 |          9 |         90 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDataTable.vue                                                                                  | vue                |        204 |          0 |         15 |        219 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/BasicInfo.vue                                                                           | vue                |         44 |          0 |          5 |         49 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/NavBar/ApplyToDatabaseButton.vue                                                        | vue                |         20 |          0 |          5 |         25 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/NavBar/ApplyToDatabasePanel.vue                                                         | vue                |        176 |          0 |         13 |        189 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/NavBar/NavBar.vue                                                                       | vue                |         19 |          0 |          3 |         22 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/NavBar/TitleEditor.vue                                                                  | vue                |         86 |          0 |         11 |         97 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/NavBar/index.ts                                                                         | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/NavBar/utils.ts                                                                         | TypeScript         |         47 |          0 |          2 |         49 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/ReleaseArchiveRestoreButton.vue                                                         | vue                |         36 |          0 |          4 |         40 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/ReleaseDetail.vue                                                                       | vue                |         63 |          0 |          7 |         70 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/ReleaseFileTable/ReleaseFileDetailPanel.vue                                             | vue                |         45 |          0 |          6 |         51 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/ReleaseFileTable/ReleaseFileTable.vue                                                   | vue                |        166 |          0 |         14 |        180 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/ReleaseFileTable/index.ts                                                               | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/context.ts                                                                              | TypeScript         |         54 |          0 |         14 |         68 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Release/ReleaseDetail/index.ts                                                                                | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/ReleaseRemindModal.vue                                                                                        | vue                |         52 |          0 |          7 |         59 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/RequireEnterpriseButton.vue                                                                                   | vue                |         29 |          0 |          4 |         33 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/RequiredStar.vue                                                                                              | vue                |          3 |          0 |          1 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Revision/CreateRevisionDrawer.vue                                                                             | vue                |        795 |         14 |         63 |        872 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Revision/RevisionDataTable.vue                                                                                | vue                |        181 |          0 |         11 |        192 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Revision/RevisionDetailPanel.vue                                                                              | vue                |        113 |          0 |         14 |        127 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Revision/index.ts                                                                                             | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/RoleSetting.vue                                                                                  | vue                |        128 |          0 |         14 |        142 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/components/ImportPermissionFromRoleModal.vue                                                     | vue                |         86 |          0 |         11 |         97 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/components/RoleDataTable/cells/RoleOperationsCell.vue                                            | vue                |         85 |          0 |         13 |         98 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/components/RoleDataTable/cells/RoleTitleCell.vue                                                 | vue                |         14 |          0 |          3 |         17 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/components/RoleDataTable/index.vue                                                               | vue                |         62 |          0 |          6 |         68 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/components/RolePanel.vue                                                                         | vue                |        234 |          0 |         21 |        255 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/components/index.ts                                                                              | TypeScript         |          3 |          0 |          2 |          5 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/context.ts                                                                                       | TypeScript         |         16 |          0 |          5 |         21 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/Setting/index.ts                                                                                         | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Role/index.ts                                                                                                 | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Rollout/RolloutDataTable.vue                                                                                  | vue                |        188 |          0 |          9 |        197 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/Rollout/kits/TaskStatus.vue                                                                                   | vue                |        118 |          0 |          6 |        124 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLCheck/SQLCheckButton.vue                                                                                   | vue                |        251 |          0 |         24 |        275 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLCheck/SQLCheckPanel.vue                                                                                    | vue                |        151 |          0 |         10 |        161 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLCheck/SQLCheckSummary.vue                                                                                  | vue                |         51 |          0 |          6 |         57 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLCheck/common.ts                                                                                            | TypeScript         |          1 |          2 |          1 |          4 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLCheck/context.ts                                                                                           | TypeScript         |         18 |          0 |          7 |         25 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLCheck/index.ts                                                                                             | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/SQLReviewConfig.vue                                                                                 | vue                |         69 |          0 |          6 |         75 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/SQLReviewCreation.vue                                                                               | vue                |        267 |          0 |         22 |        289 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/SQLReviewInfo.vue                                                                                   | vue                |        167 |          0 |          8 |        175 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/BooleanComponent.vue                                                | vue                |         34 |          0 |          4 |         38 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/NumberComponent.vue                                                 | vue                |         20 |          0 |          4 |         24 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/RuleConfig.vue                                                      | vue                |        112 |          0 |          8 |        120 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/StringArrayComponent.vue                                            | vue                |         53 |          0 |          7 |         60 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/StringComponent.vue                                                 | vue                |         20 |          0 |          4 |         24 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/TemplateComponent.vue                                               | vue                |         40 |          0 |          6 |         46 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/index.ts                                                            | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/types.ts                                                            | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleConfigComponents/utils.ts                                                            | TypeScript         |         18 |          0 |          5 |         23 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/RuleLevelSwitch.vue                                                                      | vue                |         77 |          0 |          7 |         84 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/SQLReviewAttachResourcesPanel.vue                                                        | vue                |        187 |          0 |         17 |        204 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/SQLReviewCategoryTabFilter.vue                                                           | vue                |         66 |          0 |         10 |         76 |
| /Users/changzechuan/DBMSProjects/bytebase/frontend/src/components/SQLReview/components/SQLReviewForResource.vue                                                                 | vue                |        151 |          0 |         16 |        167 |
